name,category,brand,price,rating,reviews,image_count,images_with_text,images_without_text,product_url
Наушники беспроводные с микрофоном Pro3 Android iphone,"Главная > Электроника > ТВ, Аудио, Фото, Видео техника > Наушники и гарнитуры > Me tradeMark",Unknown,0,4.6,0,8,0,8,https://www.wildberries.ru/catalog/145726284/detail.aspx
Наушники беспроводные,,Unknown,0,4.3,0,13,0,13,https://www.wildberries.ru/catalog/222604921/detail.aspx
